match,date,et,city
73,2026-06-28,15:00,Los Angeles
74,2026-06-29,16:30,Foxborough
75,2026-06-29,21:00,Guadalajara
76,2026-06-29,13:00,Houston
77,2026-06-30,17:00,East Rutherford
78,2026-06-30,13:00,Arlington
79,2026-06-30,21:00,Mexico City
80,2026-07-01,12:00,Atlanta
81,2026-07-01,20:00,Santa Clara
82,2026-07-01,16:00,Seattle
83,2026-07-02,19:00,Toronto
84,2026-07-02,15:00,Los Angeles
85,2026-07-02,23:00,Vancouver
86,2026-07-03,18:00,Miami
87,2026-07-03,21:30,Kansas City
88,2026-07-03,14:00,Arlington
89,2026-07-04,17:00,Philadelphia
90,2026-07-04,13:00,Houston
91,2026-07-05,16:00,East Rutherford
92,2026-07-05,20:00,Mexico City
93,2026-07-06,15:00,Arlington
94,2026-07-06,20:00,Seattle
95,2026-07-07,12:00,Atlanta
96,2026-07-07,16:00,Vancouver
97,2026-07-09,16:00,Foxborough
98,2026-07-10,15:00,Los Angeles
99,2026-07-11,17:00,Miami
100,2026-07-11,21:00,Kansas City
101,2026-07-14,15:00,Arlington
102,2026-07-15,15:00,Atlanta
103,2026-07-18,17:00,Miami
104,2026-07-19,15:00,East Rutherford
